decade,conflict,construction,crisis,pathology,reform
1900,9.090909090909092,81.81818181818183,0.0,2.272727272727273,6.8181818181818175
1910,2.380952380952381,72.61904761904762,1.1904761904761905,3.571428571428571,20.238095238095237
1920,2.7472527472527473,85.98901098901099,0.27472527472527475,1.6483516483516485,9.340659340659341
1930,7.857911733046287,80.94725511302477,1.6146393972012916,1.0764262648008611,8.503767491926803
1940,10.44776119402985,85.19900497512438,0.7462686567164178,0.4975124378109453,3.109452736318408
1950,17.512690355329948,77.2419627749577,1.015228426395939,2.030456852791878,2.199661590524535
1960,17.6126878130217,75.62604340567613,1.1686143572621035,2.1702838063439067,3.4223706176961604
1970,27.084531339850486,58.25186889016676,3.0477285796434734,8.85566417481311,2.760207015526164
1980,18.55388813096862,62.21009549795361,3.547066848567531,11.869031377899045,3.819918144611187
1990,15.338645418326694,59.8605577689243,3.7848605577689245,16.83266932270916,4.183266932270916
2000,14.003759398496241,59.210526315789465,4.323308270676692,15.977443609022558,6.484962406015038
2010,14.099216710182768,60.96605744125326,4.046997389033943,16.449086161879894,4.43864229765013
2020,17.177914110429448,57.05521472392638,8.588957055214724,11.65644171779141,5.521472392638037
